schema|nome|args|grants|src_arquivos|seed_arquivos|migrations_n|outras_funcoes_que_citam
analytics|extrair_nome_casal|p_operacao text||||10|analytics.regenerar_dim_operacao_weddings
analytics|fn_gerencial_lancamentos_atualizado|||||1|
analytics|regenerar_dim_operacao_weddings|||src/app/admin/uploads/actions.ts src/types/database.ts src/lib/carga/lancamentos.ts||15|public.promover_carga_vendas
analytics|situacao_por_data_evento|p_data_evento date||||5|public.get_operacao_weddings__nucleo
app|areas_do_setor|p_setor text|service_role:EXECUTE|src/lib/sonda-teste-escreve-banco.test.ts src/lib/auth/areas.ts src/lib/auth/areas.test.ts src/lib/rpc-contrato.test.ts||4|public.get_decomposicao_variacao public.get_executiva_kpis public.get_historico_12m_setores public.get_historico_mensal public.get_mix_produto public.get_mix_setor public.get_prejuizos public.get_ranking_vendedores_range public.get_tendencia_margem public.get_vendas_em_aberto public.get_vendas_receita_negativa
app|auth_enforcement_ativo||service_role:EXECUTE|||3|app.exigir_acesso
app|current_user_role||service_role:EXECUTE|||1|app.is_financeiro
app|current_user_setor_id||service_role:EXECUTE|||1|
app|exigir_acesso|p_areas text[]|service_role:EXECUTE|src/app/layout.tsx src/app/admin/solicitacoes/movimentacoes/page.tsx src/app/admin/api-externa/actions.ts src/app/admin/acessos/page.tsx src/app/financeiro/fluxo-caixa/gerencial/actions.ts src/app/financeiro/fluxo-caixa/gerencial/page.tsx src/app/financeiro/fluxo-caixa/actions.ts src/app/financeiro/acervo/actions.ts src/app/financeiro/calculadora-rateio/actions.ts src/app/financeiro/dre/estrutura-competencia/actions.ts src/app/financeiro/dre/estrutura/actions.ts src/app/financeiro/faturamento-corp/cadastro-actions.ts src/app/api/gerencial/import/route.ts src/app/api/externo/solicitacoes/route.ts src/lib/solicitacoes/rpc.ts src/lib/api-externa/rpc.ts src/lib/api-externa/contrato-api-externa.test.ts src/lib/api-externa/http.ts src/lib/rpc-contrato.test.ts||91|public.acervo_criar public.acervo_doc_path public.acervo_excluir public.acervo_listar public.admin_acesso_solicitacoes_pendentes public.admin_atribuir_role public.admin_atualizar_nome public.admin_atualizar_role public.admin_criar_role public.admin_decidir_solicitacao public.admin_excluir_role public.admin_listar_areas public.admin_listar_roles public.admin_listar_solicitacoes public.admin_listar_usuarios public.admin_marcar_trocar_senha public.admin_registrar_usuario public.admin_set_enforcement public.admin_solic_arquivar_tipo public.admin_solic_excluir_tipo public.admin_solic_listar_tipos public.admin_solic_salvar_tipo public.admin_solic_tipo_api_config public.apagar_clientes_corp public.api_chave_listar public.api_chave_registrar public.api_chave_revogar public.api_log_listar public.api_retrofit_contratos public.api_robo_registrar public.atualizar_cliente_corp public.atualizar_saldo_caixa public.atualizar_status_nota public.batch_gerencial_import public.buscar_cliente_corporativo public.buscar_docs_fatura public.buscar_pessoas public.create_gerencial_conta public.create_gerencial_lancamento public.criar_solicitacao public.cruzar_vendas_setor public.delete_gerencial_conta public.delete_gerencial_lancamento public.delete_gerencial_lancamento public.delete_gerencial_lancamentos_bulk public.delete_gerencial_lancamentos_bulk public.dre_comp_estrutura public.dre_comp_estrutura_desfazer_linha public.dre_comp_estrutura_desfazer_lote public.dre_comp_estrutura_historico_lote public.dre_comp_estrutura_historico_lotes public.dre_comp_estrutura_salvar public.dre_estrutura public.dre_estrutura_desfazer_linha public.dre_estrutura_desfazer_lote public.dre_estrutura_historico_lote public.dre_estrutura_historico_lotes public.dre_estrutura_salvar public.email_existentes public.excluir_cliente_corp public.fatura_emissao_existentes public.gerencial_desfazer_linha public.gerencial_desfazer_lote public.gerencial_historico_lote public.gerencial_historico_lotes public.get_acumulado_weddings public.get_acumulado_weddings public.get_cagr public.get_calendario_liquidez public.get_carteira_weddings public.get_contratos_casamento_mes public.get_dashboard_config public.get_decomposicao_bloco public.get_decomposicao_categoria public.get_decomposicao_grupo public.get_decomposicao_variacao public.get_dre_competencia_mensal public.get_dre_mensal public.get_executiva_kpis public.get_fluxo_caixa_acumulado_v1 public.get_fluxo_caixa_kpis_b public.get_fluxo_caixa_kpis_diario public.get_fluxo_caixa_mensal_v3 public.get_fluxo_cobertura public.get_fluxo_horizonte public.get_fluxo_previsto_diario public.get_fluxo_ranking public.get_fluxo_runway_semanal public.get_gerencial_lancamentos public.get_gerencial_lancamentos_planilha public.get_gerencial_projecao_diaria public.get_gerencial_saldos public.get_historico_12m_setores public.get_historico_mensal public.get_lancamentos_do_dia public.get_mix_produto public.get_mix_setor public.get_operacao_weddings public.get_operacoes_lista_weddings public.get_operacoes_weddings public.get_pipeline_weddings public.get_posicao_por_conta public.get_prejuizos public.get_proximos_casamentos public.get_proximos_lancamentos public.get_ranking_vendedores_range public.get_rendimento_float public.get_repasse_mensal public.get_saldo_caixa public.get_saldo_repasse public.get_setores_macro public.get_sumario_subsetor public.get_taxas_cdi public.get_tendencia_margem public.get_vendas_em_aberto public.get_vendas_em_aberto_weddings public.get_vendas_prejuizo_weddings public.get_vendas_receita_negativa public.get_weddings_historico_subsetor public.importar_clientes_corp public.inserir_cliente_corp public.listar_clientes_corp public.marcar_onboarding_visto public.metas_listar public.metas_ritmo_diario public.metas_subsetor_listar public.metas_subsetor_upsert public.metas_sumario_subsetor public.metas_upsert public.monde_comparacao_mensal public.nota_existentes public.onboarding_visto public.patrimonio_atualizar_ativo public.patrimonio_atualizar_obs_movimentacao public.patrimonio_catalogos public.patrimonio_criar_ativo public.patrimonio_detalhe_ativo public.patrimonio_listar_ativos public.patrimonio_listar_movimentacoes public.patrimonio_registrar_movimentacao public.patrimonio_resumo public.patrimonio_upsert_detentor public.provisionar_dre_comp_par public.rbac_verificar_guard public.registrar_email public.registrar_emissao public.registrar_nota public.reordenar_gerencial_contas public.resultado_boletos public.resultado_notas public.solic_anexar public.solic_anexo_excluir public.solic_anexo_path public.solic_aprovar public.solic_caixa public.solic_cancelar public.solic_concluir public.solic_destinatarios public.solic_detalhe public.solic_emails_envolvidos public.solic_minhas public.solic_minhas_pendencias public.solic_movimentacoes public.solic_promover_anexos public.solic_rejeitar public.solic_tipos_abertura public.solic_tipos_documentacao public.update_gerencial_conta public.update_gerencial_lancamento public.update_gerencial_lancamento public.update_gerencial_saldo public.update_gerencial_saldo
app|get_config_numeric|p_chave text|service_role:EXECUTE|||4|
