Package                 Current    Wanted   Latest  Location                            Depended by
@supabase/ssr            0.10.2    0.10.3   0.12.7  node_modules/@supabase/ssr          chore+v5-10-0-limpeza-fechamento-v5
@supabase/supabase-js   2.105.1   2.116.0  2.116.0  node_modules/@supabase/supabase-js  chore+v5-10-0-limpeza-fechamento-v5
@tailwindcss/postcss      4.2.4     4.3.3    4.3.3  node_modules/@tailwindcss/postcss   chore+v5-10-0-limpeza-fechamento-v5
@types/node            20.19.39  20.19.43  22.20.2  node_modules/@types/node            chore+v5-10-0-limpeza-fechamento-v5
@types/react            19.2.14    19.3.0   19.3.0  node_modules/@types/react           chore+v5-10-0-limpeza-fechamento-v5
@types/react-dom         19.2.3    19.3.0   19.3.0  node_modules/@types/react-dom       chore+v5-10-0-limpeza-fechamento-v5
date-fns                  4.1.0     4.4.0    4.4.0  node_modules/date-fns               chore+v5-10-0-limpeza-fechamento-v5
eslint                   9.39.4    9.39.5  10.10.0  node_modules/eslint                 chore+v5-10-0-limpeza-fechamento-v5
eslint-config-next       16.2.9    16.2.9   16.3.4  node_modules/eslint-config-next     chore+v5-10-0-limpeza-fechamento-v5
lucide-react             1.14.0    1.44.0   1.44.0  node_modules/lucide-react           chore+v5-10-0-limpeza-fechamento-v5
next                     16.2.9    16.2.9   16.3.4  node_modules/next                   chore+v5-10-0-limpeza-fechamento-v5
nodemailer                9.0.1     9.1.1   10.0.3  node_modules/nodemailer             chore+v5-10-0-limpeza-fechamento-v5
pg                       8.21.0    8.23.0   8.23.0  node_modules/pg                     chore+v5-10-0-limpeza-fechamento-v5
react                    19.2.4    19.2.4   19.3.0  node_modules/react                  chore+v5-10-0-limpeza-fechamento-v5
react-dom                19.2.4    19.2.4   19.3.0  node_modules/react-dom              chore+v5-10-0-limpeza-fechamento-v5
recharts                  3.8.1    3.10.1   3.10.1  node_modules/recharts               chore+v5-10-0-limpeza-fechamento-v5
tailwindcss               4.2.4     4.3.3    4.3.3  node_modules/tailwindcss            chore+v5-10-0-limpeza-fechamento-v5
tsx                      4.21.0   4.23.13  4.23.13  node_modules/tsx                    chore+v5-10-0-limpeza-fechamento-v5
typescript                5.9.3     5.9.3    7.0.2  node_modules/typescript             chore+v5-10-0-limpeza-fechamento-v5
vitest                    3.2.6     3.2.7    5.0.0  node_modules/vitest                 chore+v5-10-0-limpeza-fechamento-v5
zod                       4.4.1     4.6.1    4.6.1  node_modules/zod                    chore+v5-10-0-limpeza-fechamento-v5
