   54028 ms  140 testes  src/lib/rpc-contrato.test.ts
    4428 ms    9 testes  src/lib/dre/reverter-diario.test.ts
    4061 ms   42 testes  src/lib/api-externa/contrato-api-externa.test.ts
     759 ms    1 testes  src/lib/monde/virada-paridade.test.ts
     284 ms   45 testes  src/lib/email/email.test.ts
     131 ms    8 testes  src/lib/carga/parse-fluxo-caixa-valor-nativo.test.ts
     130 ms   16 testes  src/lib/carga/parse-demonstrativo-competencia.test.ts
     130 ms   14 testes  src/lib/carga/coercao-lint.sonda.test.ts
      54 ms   28 testes  src/lib/metas/comparativo.test.ts
      53 ms   12 testes  src/lib/metas/ritmo.test.ts
      50 ms    4 testes  src/lib/faturamento/parse-clientes-corp.test.ts
      44 ms    3 testes  src/lib/carga/parse-pessoas.test.ts
      39 ms    4 testes  src/lib/metas/tooltip-clamp.test.ts
      33 ms   17 testes  src/lib/dre/ponte-regimes.test.ts
      30 ms    2 testes  src/components/ui/gatilho-ajuda.test.ts
      29 ms    8 testes  src/app/solicitar-acesso/actions.test.ts
      25 ms   32 testes  src/lib/monde/reconciliacao.test.ts
      25 ms   18 testes  src/lib/gerencial/import-types.test.ts
      25 ms   17 testes  src/lib/fluxo/janela-mensal.test.ts
      23 ms   21 testes  src/lib/cdi/serie-sgs.test.ts
      21 ms   15 testes  src/lib/dre/competencia-estrutura.test.ts
      20 ms   34 testes  src/lib/auth/areas.test.ts
      20 ms   13 testes  src/lib/periodo.test.ts
      19 ms   24 testes  src/lib/weddings/margem-anualizada.test.ts
      17 ms   24 testes  src/lib/dre/proporcao-grupos.test.ts
      15 ms   38 testes  src/lib/dre/av.test.ts
      15 ms   32 testes  scripts/db-gate/classificar.test.mjs
      15 ms   14 testes  src/lib/solicitacoes/format.test.ts
      14 ms   56 testes  src/components/layout/nav-model.test.ts
      14 ms   23 testes  src/lib/asaas/asaas.test.ts
      14 ms   19 testes  src/lib/fmt.test.ts
      14 ms    2 testes  src/lib/weddings/schemas-float.test.ts
      13 ms   21 testes  src/lib/email/fatura.test.ts
      13 ms   12 testes  src/lib/carga/parse-fluxo-caixa-onda1.test.ts
      13 ms    1 testes  src/styles/cabecalho-pagina.test.ts
      12 ms   31 testes  src/lib/carga/coercao.test.ts
      11 ms    5 testes  src/lib/gerencial/ordenacao.test.ts
      10 ms   16 testes  src/lib/solicitacoes/ciclo-de-vida.test.ts
      10 ms   15 testes  src/lib/carga/vendas-parser.test.ts
       9 ms   25 testes  src/lib/weddings/janela-fluxo.test.ts
       9 ms    5 testes  src/lib/weddings/ordenacao-operacoes.test.ts
       9 ms    4 testes  src/lib/decomposicao-variacao.test.ts
       8 ms   13 testes  src/lib/monde/transform.test.ts
       8 ms   12 testes  src/lib/dre/decomposicao-variacao.test.ts
       8 ms    6 testes  src/lib/gerencial/normalizar-conta.test.ts
       7 ms   10 testes  src/lib/metas/periodo-metas.test.ts
       6 ms   10 testes  src/lib/fluxo/cobertura.test.ts
       6 ms    9 testes  src/lib/dre/folhas.test.ts
       6 ms    6 testes  src/styles/tokens.test.ts
       5 ms   30 testes  src/lib/dre/rotulo-bloco.test.ts
       5 ms   25 testes  src/components/gestao-pessoas/inventario/derivar.test.ts
       5 ms   18 testes  src/components/gestao-pessoas/inventario/paridade-sql.test.ts
       5 ms   12 testes  src/lib/weddings/float-virtual.test.ts
       5 ms   12 testes  src/lib/metas/sync-atraso.test.ts
       5 ms    5 testes  src/lib/sonda-teste-escreve-banco.test.ts
       4 ms   32 testes  src/proxy.test.ts
       4 ms   13 testes  src/lib/storage/nome-arquivo.test.ts
       4 ms    7 testes  src/lib/carga/colunas-obrigatorias.test.ts
       4 ms    6 testes  src/lib/faturamento/juros-multa.test.ts
       4 ms    6 testes  src/lib/email/destinatarios.test.ts
       4 ms    3 testes  src/lib/email/template-acesso.test.ts
       3 ms   20 testes  src/components/gestao-pessoas/inventario/exportar.test.ts
       3 ms   14 testes  src/lib/ui/scrollbar-math.test.ts
       3 ms   10 testes  src/lib/dre/identidade.test.ts
       3 ms    8 testes  src/lib/faturamento/classificar.test.ts
       3 ms    7 testes  src/lib/rateio/calcular.test.ts
       3 ms    7 testes  src/lib/faturamento/status-nota.test.ts
       3 ms    5 testes  src/lib/solicitacoes/abas.test.ts
       3 ms    4 testes  src/lib/carga/parse-vendas-produto.test.ts
       3 ms    3 testes  src/lib/monde/ingest.test.ts
       2 ms   19 testes  src/lib/dre/janela-competencia.test.ts
       2 ms    5 testes  src/lib/asaas/customers.test.ts
