grupo_arquivo,descricao_arquivo,sub_chave,rotulo_linha
Despesas Administrativas,Bens não Ativos,ADM,Bens não ativos
Despesas Administrativas,Consultorias e Assessorias,ADM,Consultorias e Assessorias
Despesas Administrativas,Copa e Cozinha,ADM,Copa e Cozinha
Despesas Administrativas,Despesas com Cartório,ADM,Despesas com Cartório
Despesas Administrativas,Honorários Advocatícios,ADM,Honorários Advocatícios
Despesas Administrativas,Honorários Contábeis,ADM,Honorários Contábeis
Despesas Administrativas,Licença de Software (ADM),ADM,Licença de Software (ADM)
Despesas Administrativas,Material de Escritório,ADM,Material de Escritório
Despesas Administrativas,Material de Informática,ADM,Material de Informática
Despesas Administrativas,Material de Limpeza e Higiene,ADM,Material de Limpeza e Higiene
Despesas Administrativas,Prestadores de Serviço - PJ - (ADM),ADM,Prestadores de Serviço - PJ - (ADM)
Despesas Administrativas,Taxas de Licenciamento e Funcionamento,ADM,Taxas de Licenciamento e Funcionamento
Despesas Operacionais de RH,Comissão de Vendas,COM,Comissão de Vendas
Despesas Comerciais,Comissão Terceiros,COM,Comissão Terceiros
Despesas Comerciais,Cortesia,COM,Cortesia
Despesas Comerciais,FamTour,COM,FamTour
Despesas Comerciais,"Feiras, Eventos e Divulgações",COM,"Feiras, Eventos e Divulgações"
Despesas Comerciais,Licença de Software (Comercial),COM,Licença de Software (Comercial)
Despesas Comerciais,Material Gráfico,COM,Material Gráfico
Custo dos Serviços Prestados,Prejuízos,COM,Prejuízos
Despesas Operacionais de RH,Premiação,COM,Premiação
Despesas Comerciais,Presentes,COM,Presentes
Despesas Comerciais,Relacionamento (Clientes ou Fornecedores),COM,Relacionamento (Clientes ou Fornecedores)
Receita de Vendas,Reversão de Perdas Financeiras,COM,Reversão de Perdas Financeiras
Despesas Comerciais,Transporte e Envio,COM,Transporte e Envio
Custo dos Serviços Prestados,Assessoria Local,CUSTO,Assessoria Local
Custo dos Serviços Prestados,Custo com Viagem,CUSTO,Custo com Viagem
Custo dos Serviços Prestados,Material de apoio - Eventos,CUSTO,Material de Apoio - Eventos
Custo dos Serviços Prestados,Plantão de Atendimento,CUSTO,Plantão de Atendimento
Custo dos Serviços Prestados,Prestador de Serviço - PJ,CUSTO,Prestador de Serviço - PJ
Receitas Não Operacionais,Reembolso - Custo com Viagem - C,CUSTO,Reembolso - Custo com Viagem - C
Custo dos Serviços Prestados,Seguro de Responsabilidade Civil,CUSTO,Seguro de Responsabilidade Civil
Despesas com Investimentos e Empréstimos,Welcome Labs,CUSTO,Welcome Labs
Despesas Operacionais de RH,Distribuição de Lucros,DL,Distribuição de Lucros
Despesas não Operacionais,Ações Judiciais e Extrajudiciais - D,DNOP,Ações Judiciais e Extrajudiciais - D
Despesas Operacionais de Estrutura,Aluguel,ESTR,Aluguel
Despesas Operacionais de Estrutura,Condomínio,ESTR,Condomínio
Despesas Operacionais de Estrutura,Energia,ESTR,Energia
Despesas Operacionais de Estrutura,Estacionamento (Vaga Diretoria),ESTR,Estacionamento (vaga diretoria)
Receitas Não Operacionais,Fundo de Reserva - Condomínio C,ESTR,Fundo de Reserva - Condomínio C
Despesas Operacionais de Estrutura,Fundo de Reserva - Condomínio D,ESTR,Fundo de Reserva - Condomínio D
Despesas Operacionais de Estrutura,Internet,ESTR,Internet
Despesas Operacionais de Estrutura,Limpeza e Manutenção Predial,ESTR,Limpeza e Manutenção Predial
Despesas Operacionais de Estrutura,Manutenção e Conservação de Equipamentos,ESTR,Manutenção e Conservação de Equipamentos
Despesas Operacionais de Estrutura,Telefonia,ESTR,Telefonia
Receitas e Rendimentos Financeiros,Acréscimos Cobrados,FIN,Acréscimos Cobrados
Despesas Financeiras,Anuidade de Cartões,FIN,Anuidade de Cartões
Receitas e Rendimentos Financeiros,Aplicações e Investimentos C,FIN,Aplicações e Investimentos C
Despesas Financeiras,Aplicações e Investimentos D,FIN,Aplicações e Investimentos D
Receitas e Rendimentos Financeiros,Desconto Obtido,FIN,Desconto Obtido
Receita de Vendas,Diferença Apuração de Baixas C,FIN,Diferença Apuração de Baixas C
Custo dos Serviços Prestados,Diferença Apuração de Baixas D,FIN,Diferença Apuração de Baixas D
Receita de Vendas,Diferença Taxa de Câmbio Dia C,FIN,Diferença Taxa de Câmbio Dia C
Custo dos Serviços Prestados,Diferença Taxa de Cambio Dia D,FIN,Diferença Taxa de Cambio Dia D
Despesas Financeiras,IOF,FIN,IOF
Despesas Financeiras,Juros e Multa,FIN,Juros e Multa
Custo dos Serviços Prestados,Tarifa de Remessa,FIN,Tarifa de Remessa
Despesas Financeiras,Taxa de Antecipação,FIN,Taxa de Antecipação
Despesas Financeiras,Taxa do Cartão de Crédito/Débito,FIN,Taxa do Cartão de Crédito/Débito
Despesas Financeiras,Taxas e Tarifas Bancárias,FIN,Taxas e Tarifas Bancárias
Impostos e Deduções da Receita Bruta,DAS,IMP_H,DAS
Impostos e Deduções da Receita Bruta,Descontos Concedidos,IMP_H,Descontos Concedidos
Impostos e Deduções da Receita Bruta,ISS - RPA,IMP_H,ISS - RPA
Impostos e Deduções da Receita Bruta,Reembolso / Carta de Crédito,IMP_H,Reembolso / Carta de Crédito
Despesas com Investimentos e Empréstimos,Empréstimos,INV,Empréstimos
Despesas com Investimentos e Empréstimos,Máquinas e Equipamentos,INV,Máquinas e Equipamentos
Despesas com Investimentos e Empréstimos,Móveis e Utensílios,INV,Móveis e Utensílios
Despesas com Investimentos e Empréstimos,Reforma,INV,Reforma
Despesas Marketing,Agência de Marketing / Terceiros de MKT,MKT,Agência de Marketing / Terceiros de Mkt
Despesas Marketing,Anúncios,MKT,Anúncios
Despesas Marketing,Licença de Software (MKT),MKT,Licença de Software (MKT)
Despesas Marketing,Marcas e Patentes,MKT,Marcas e Patentes
Despesas Marketing,Material gráfico MKT,MKT,Material Gráfico MKT
Despesas Marketing,TravelBack,MKT,TravelBack
Descontos da venda,Desconto,REEMB,Desconto
Descontos da venda,Reembolso Cliente,REEMB,Reembolso Cliente
Receitas da venda,Reembolso Cliente,REEMB,Reembolso Cliente
Descontos da venda,Reembolso Fornecedor,REEMB,Reembolso Fornecedor
Receitas da venda,Reembolso Fornecedor,REEMB,Reembolso Fornecedor
Despesas Operacionais de RH,13° Salário Sócios,RH,13° Salário Sócios
Despesas Operacionais de RH,13º Salário,RH,13º Salário
Receitas Não Operacionais,Adiantamento 13º Salário,RH,Adiantamento 13º Salário
Receitas Não Operacionais,Adiantamento de Salário,RH,Adiantamento de Salário
Receitas Não Operacionais,Adiantamento Férias,RH,Adiantamento Férias
Despesas Operacionais de RH,Adiantamento Salarial,RH,Adiantamento Salarial
Despesas Operacionais de RH,Auxilio Alimentação,RH,Auxilio Alimentação
Despesas Operacionais de RH,Benefício (VR),RH,Benefício (VR)
Despesas Operacionais de RH,Benefícios Previdenciários,RH,Benefícios Previdenciários
Receitas Não Operacionais,Desconto de Salário,RH,Desconto de Salário
Receitas Não Operacionais,Desconto INSS,RH,Desconto INSS
Receitas Não Operacionais,Desconto IRRF,RH,Desconto IRRF
Receitas Não Operacionais,Devolução de Empréstimo,RH,Devolução de Empréstimo
Despesas Operacionais de RH,Empréstimo D,RH,Empréstimo D
Despesas Operacionais de RH,Estágio,RH,Estágio
Despesas Operacionais de RH,Férias,RH,Férias
Despesas Operacionais de RH,Ferramentas de RH,RH,Ferramentas de RH
Despesas Operacionais de RH,FGTS,RH,FGTS
Despesas Operacionais de RH,GRCSU - Contribuição Sindical,RH,GRCSU - Contribuição Sindical
Despesas Operacionais de RH,INSS - Instituto Nacional do Seguro Social,RH,INSS - Instituto Nacional do Seguro Social
Despesas Operacionais de RH,Integração DSR,RH,Integração DSR
Despesas Operacionais de RH,IRRF - Imposto de Renda Retido na Fonte,RH,IRRF - Imposto de Renda Retido na Fonte
Despesas Operacionais de RH,Prestadores de Serviço - PJ - (RH),RH,Prestadores de Serviço - PJ - (RH)
Despesas Operacionais de RH,Pró-Labore,RH,Pró-Labore
Despesas Operacionais de RH,Rescisões,RH,Rescisões
Despesas Operacionais de RH,Salário,RH,Salário
Despesas Operacionais de RH,Salário Maternidade,RH,Salário Maternidade
Despesas Operacionais de RH,Saúde Ocupacional,RH,Saúde Ocupacional
Despesas Operacionais de RH,Uniforme,RH,Uniforme
Despesas Operacionais de RH,Vale Transporte,RH,Vale Transporte
Despesas Operacionais de RH Benefícios,Aniversário de Empresa,RHB,Aniversário de Empresa
Despesas Operacionais de RH Benefícios,Beneficio Extra (categorias Caju),RHB,Beneficio Extra (categorias Caju)
Despesas Operacionais de RH Benefícios,Benefício Extra (Home Office),RHB,Benefício Extra (Home Office)
Despesas Operacionais de RH Benefícios,Benefício Extra (Saldo Livre),RHB,Benefício Extra (Saldo Livre)
Despesas Operacionais de RH Benefícios,Benefício Extra (VC),RHB,Benefício Extra (VC)
Despesas Operacionais de RH Benefícios,Cursos e Treinamentos,RHB,Cursos e Treinamentos
Despesas Marketing,Endomarketing,RHB,Endomarketing
Despesas Operacionais de RH Benefícios,Estacionamento Vaga Rotativa,RHB,Estacionamento Vaga Rotativa
Despesas Operacionais de RH Benefícios,Gympass,RHB,Gympass
Despesas Operacionais de RH Benefícios,Plano de Saúde,RHB,Plano de Saúde
Despesas Operacionais de RH Benefícios,PLR - Participação nos Lucros e Resultados,RHB,PLR - Participação nos Lucros e Resultados
Despesas Operacionais de RH Benefícios,Previdência Privada - Sócios,RHB,Previdência Privada - Sócios
Receitas Não Operacionais,Reembolso GymPass,RHB,Reembolso GymPass
